Region,Year,Forest Lands - Grunty zalesione (ha),Forest Lands - Grunty niezalesione (ha)
DOLNOŚLĄSKIE,2017,580912.31,13897.32
DOLNOŚLĄSKIE,2018,581220.72,13832.97
DOLNOŚLĄSKIE,2019,580812.35,14218.29
DOLNOŚLĄSKIE,2020,581456.97,14113.09
DOLNOŚLĄSKIE,2021,583111.79,13707.43
DOLNOŚLĄSKIE,2022,583390.77,13996.73
DOLNOŚLĄSKIE,2023,583999.29,14036.02
DOLNOŚLĄSKIE,2024,584563.87,13978.13
KUJAWSKO-POMORSKIE,2017,411810.88,10081.85
KUJAWSKO-POMORSKIE,2018,408409.9,13532.3
KUJAWSKO-POMORSKIE,2019,408652.57,13453.18
KUJAWSKO-POMORSKIE,2020,409038.85,13201.76
KUJAWSKO-POMORSKIE,2021,409644.84,12214.04
KUJAWSKO-POMORSKIE,2022,410080.59,11645.98
KUJAWSKO-POMORSKIE,2023,410791.47,11053.65
KUJAWSKO-POMORSKIE,2024,410866.45,11173.43
LUBELSKIE,2017,578615.09,7582.16
LUBELSKIE,2018,580171.6,7595.95
LUBELSKIE,2019,578149.26,7528.34
LUBELSKIE,2020,578451.13,8937.56
LUBELSKIE,2021,579312.37,8938.02
LUBELSKIE,2022,580444.08,8764.16
LUBELSKIE,2023,580363.86,8756.64
LUBELSKIE,2024,579685.76,9766.3
LUBUSKIE,2017,673203.23,16163.93
LUBUSKIE,2018,673288.6,16229.79
LUBUSKIE,2019,673773.11,16091.2
LUBUSKIE,2020,673429.65,16539.05
LUBUSKIE,2021,672768.53,17467.4
LUBUSKIE,2022,673241.01,17540.86
LUBUSKIE,2023,673700.75,17764.34
LUBUSKIE,2024,673613.14,18543.34
MAZOWIECKIE,2017,814467.34,15202.84
MAZOWIECKIE,2018,814798.72,16137.81
MAZOWIECKIE,2019,818506.8,15902.22
MAZOWIECKIE,2020,817030.51,16263.17
MAZOWIECKIE,2021,815585.31,16637.71
MAZOWIECKIE,2022,814562.82,16948.43
MAZOWIECKIE,2023,813898.28,17466.65
MAZOWIECKIE,2024,813403.85,18484.56
MAŁOPOLSKIE,2017,432067.62,3288.74
MAŁOPOLSKIE,2018,431807.3,3436.35
MAŁOPOLSKIE,2019,431634.69,3764.44
MAŁOPOLSKIE,2020,429372.51,5109.63
MAŁOPOLSKIE,2021,429065.04,5122.45
MAŁOPOLSKIE,2022,428844.9,4678.1
MAŁOPOLSKIE,2023,429405.41,4786.46
MAŁOPOLSKIE,2024,429313.45,5054.31
OPOLSKIE,2017,247427.13,3420.06
OPOLSKIE,2018,247299.87,3627.89
OPOLSKIE,2019,246975.96,3992.03
OPOLSKIE,2020,246819.19,4181.84
OPOLSKIE,2021,246047.71,4844.66
OPOLSKIE,2022,245859.35,5281.09
OPOLSKIE,2023,245967.74,5253.99
OPOLSKIE,2024,246825.25,4763.08
PODKARPACKIE,2017,673583.23,9030.21
PODKARPACKIE,2018,674529.8,9016.14
PODKARPACKIE,2019,673431.74,9121.21
PODKARPACKIE,2020,673007.38,9087.19
PODKARPACKIE,2021,673260.64,9491.87
PODKARPACKIE,2022,674097.06,9761.52
PODKARPACKIE,2023,673742.58,10149.2
PODKARPACKIE,2024,675158.48,10436.49
PODLASKIE,2017,609796.23,12372.5
PODLASKIE,2018,611888.2,13141.77
PODLASKIE,2019,610437.0,13439.68
PODLASKIE,2020,611288.88,13561.41
PODLASKIE,2021,612277.67,13407.85
PODLASKIE,2022,614545.89,16241.83
PODLASKIE,2023,614889.35,16656.4
PODLASKIE,2024,615414.21,16232.92
POMORSKIE,2017,650901.36,16154.51
POMORSKIE,2018,644754.04,22349.19
POMORSKIE,2019,641287.49,25777.38
POMORSKIE,2020,646426.7,20738.49
POMORSKIE,2021,652148.75,16228.12
POMORSKIE,2022,655418.87,13749.08
POMORSKIE,2023,656578.05,12803.08
POMORSKIE,2024,656155.27,12918.87
WARMIŃSKO-MAZURSKIE,2017,737695.98,22062.02
WARMIŃSKO-MAZURSKIE,2018,738192.97,24543.3
WARMIŃSKO-MAZURSKIE,2019,739064.26,26506.52
WARMIŃSKO-MAZURSKIE,2020,738245.12,28621.03
WARMIŃSKO-MAZURSKIE,2021,738439.01,28607.28
WARMIŃSKO-MAZURSKIE,2022,740129.16,27684.44
WARMIŃSKO-MAZURSKIE,2023,740905.53,29155.88
WARMIŃSKO-MAZURSKIE,2024,741349.94,29844.42
WIELKOPOLSKIE,2017,755727.78,13083.39
WIELKOPOLSKIE,2018,754284.82,15066.39
WIELKOPOLSKIE,2019,753885.94,15613.26
WIELKOPOLSKIE,2020,754295.22,14725.57
WIELKOPOLSKIE,2021,754119.5,14286.36
WIELKOPOLSKIE,2022,754857.06,14533.68
WIELKOPOLSKIE,2023,755641.58,14461.11
WIELKOPOLSKIE,2024,755266.7,15252.84
ZACHODNIOPOMORSKIE,2017,804031.36,11791.08
ZACHODNIOPOMORSKIE,2018,804755.2,12330.09
ZACHODNIOPOMORSKIE,2019,804816.3,12755.07
ZACHODNIOPOMORSKIE,2020,806115.97,12963.03
ZACHODNIOPOMORSKIE,2021,805819.75,13361.53
ZACHODNIOPOMORSKIE,2022,805529.89,14181.08
ZACHODNIOPOMORSKIE,2023,806090.89,16221.69
ZACHODNIOPOMORSKIE,2024,805974.08,17201.23
ŁÓDZKIE,2017,385532.06,5678.31
ŁÓDZKIE,2018,385710.68,5907.45
ŁÓDZKIE,2019,385603.51,6214.3
ŁÓDZKIE,2020,384208.68,5977.88
ŁÓDZKIE,2021,384102.72,5946.03
ŁÓDZKIE,2022,384116.54,6097.85
ŁÓDZKIE,2023,384345.01,6324.52
ŁÓDZKIE,2024,383955.27,6736.56
ŚLĄSKIE,2017,386036.92,8765.09
ŚLĄSKIE,2018,385564.91,9208.18
ŚLĄSKIE,2019,386281.03,9455.33
ŚLĄSKIE,2020,385986.27,9790.23
ŚLĄSKIE,2021,386351.89,10416.63
ŚLĄSKIE,2022,385911.81,10721.51
ŚLĄSKIE,2023,386599.65,10267.44
ŚLĄSKIE,2024,386272.86,9667.92
ŚWIĘTOKRZYSKIE,2017,326472.1,5584.55
ŚWIĘTOKRZYSKIE,2018,326795.92,5516.6
ŚWIĘTOKRZYSKIE,2019,325918.42,5780.13
ŚWIĘTOKRZYSKIE,2020,325284.75,5997.91
ŚWIĘTOKRZYSKIE,2021,326182.68,5750.37
ŚWIĘTOKRZYSKIE,2022,326408.39,5547.87
ŚWIĘTOKRZYSKIE,2023,326080.15,5618.02
ŚWIĘTOKRZYSKIE,2024,325518.43,5650.25
